slug,title,description,category,audience,file_path,file_type,file_size_kb,is_public,sort_order,source_file
fairgame-one-pager-donors,One Pager Donors,,about,{public},/files/about/fairgame-one-pager-donors.pptx,pptx,180,true,100,FairGame_One_Pager_Donors.pptx
fairgame-one-pager-industry-partners,One Pager Industry Partners,,about,{public},/files/about/fairgame-one-pager-industry-partners.pptx,pptx,180,true,100,FairGame_One_Pager_Industry_Partners.pptx
fairgame-one-pager-schools,One Pager Schools,,about,{public},/files/about/fairgame-one-pager-schools.pptx,pptx,177,true,100,FairGame_One_Pager_Schools.pptx
fairgame-bring-a-friend-referral-program,Bring A Friend Referral Program,,ambassadors,"{ambassador,student}",/files/ambassadors/fairgame-bring-a-friend-referral-program.docx,docx,13,true,100,FairGame_Bring_a_Friend_Referral_Program.docx
fairgame-cold-email-to-researchers,Cold Email To Researchers,,ambassadors,"{ambassador,student}",/files/ambassadors/fairgame-cold-email-to-researchers.docx,docx,15,true,100,FairGame_Cold_Email_to_Researchers.docx
fairgame-college-admissions-story-guide,College Admissions Story Guide,,ambassadors,"{ambassador,student}",/files/ambassadors/fairgame-college-admissions-story-guide.docx,docx,15,true,100,FairGame_College_Admissions_Story_Guide.docx
fairgame-linkedin-starter-kit,Linkedin Starter Kit,,ambassadors,"{ambassador,student}",/files/ambassadors/fairgame-linkedin-starter-kit.docx,docx,14,true,100,FairGame_LinkedIn_Starter_Kit.docx
fairgame-mentor-thank-you-templates,Mentor Thank You Templates,,ambassadors,"{ambassador,student}",/files/ambassadors/fairgame-mentor-thank-you-templates.docx,docx,13,true,100,FairGame_Mentor_Thank_You_Templates.docx
fairgame-networking-conversation-starters,Networking Conversation Starters,,ambassadors,"{ambassador,student}",/files/ambassadors/fairgame-networking-conversation-starters.docx,docx,13,true,100,FairGame_Networking_Conversation_Starters.docx
fairgame-student-ambassador-application,Student Ambassador Application,,ambassadors,"{ambassador,student}",/files/ambassadors/fairgame-student-ambassador-application.docx,docx,13,true,100,FairGame_Student_Ambassador_Application.docx
fairgame-student-ambassador-program-one-pager,Student Ambassador Program One Pager,,ambassadors,"{ambassador,student}",/files/ambassadors/fairgame-student-ambassador-program-one-pager.pptx,pptx,313,true,100,FairGame_Student_Ambassador_Program_One_Pager.pptx
fairgame-student-to-student-outreach-email,Student To Student Outreach Email,,ambassadors,"{ambassador,student}",/files/ambassadors/fairgame-student-to-student-outreach-email.docx,docx,13,true,100,FairGame_Student_to_Student_Outreach_Email.docx
fairgame-tell-your-school-student-pitch-deck,Tell Your School Student Pitch Deck,,ambassadors,"{ambassador,student}",/files/ambassadors/fairgame-tell-your-school-student-pitch-deck.pptx,pptx,396,true,100,FairGame_Tell_Your_School_Student_Pitch_Deck.pptx
fairgame-brand-style-guide,Brand Style Guide,,brand,{public},/files/brand/fairgame-brand-style-guide.pdf,pdf,272,true,100,FairGame_Brand_Style_Guide.pdf
fairgame-logo-actiongreen,Logo Actiongreen,,brand,{public},/files/brand/fairgame-logo-actiongreen.pdf,pdf,118,true,100,FairGame_Logo_ActionGreen.pdf
fairgame-logo-actiongreen,Logo Actiongreen,,brand,{public},/files/brand/fairgame-logo-actiongreen.svg,svg,208,true,100,FairGame_Logo_ActionGreen.svg
fairgame-logo-actiongreen-2400px,Logo Actiongreen 2400px,,brand,{public},/files/brand/fairgame-logo-actiongreen-2400px.png,png,90,true,100,FairGame_Logo_ActionGreen_2400px.png
fairgame-logo-black,Logo Black,,brand,{public},/files/brand/fairgame-logo-black.svg,svg,208,true,100,FairGame_Logo_Black.svg
fairgame-logo-forestgreen,Logo Forestgreen,,brand,{public},/files/brand/fairgame-logo-forestgreen.pdf,pdf,118,true,100,FairGame_Logo_ForestGreen.pdf
fairgame-logo-forestgreen,Logo Forestgreen,,brand,{public},/files/brand/fairgame-logo-forestgreen.svg,svg,208,true,100,FairGame_Logo_ForestGreen.svg
fairgame-logo-forestgreen-2400px,Logo Forestgreen 2400px,,brand,{public},/files/brand/fairgame-logo-forestgreen-2400px.png,png,90,true,100,FairGame_Logo_ForestGreen_2400px.png
fairgame-logo-grayscale,Logo Grayscale,,brand,{public},/files/brand/fairgame-logo-grayscale.pdf,pdf,118,true,100,FairGame_Logo_Grayscale.pdf
fairgame-logo-grayscale,Logo Grayscale,,brand,{public},/files/brand/fairgame-logo-grayscale.svg,svg,208,true,100,FairGame_Logo_Grayscale.svg
fairgame-logo-grayscale-2400px,Logo Grayscale 2400px,,brand,{public},/files/brand/fairgame-logo-grayscale-2400px.png,png,90,true,100,FairGame_Logo_Grayscale_2400px.png
fairgame-logo-leafgreen,Logo Leafgreen,,brand,{public},/files/brand/fairgame-logo-leafgreen.pdf,pdf,118,true,100,FairGame_Logo_LeafGreen.pdf
fairgame-logo-leafgreen,Logo Leafgreen,,brand,{public},/files/brand/fairgame-logo-leafgreen.svg,svg,208,true,100,FairGame_Logo_LeafGreen.svg
